"id","source","organization_name","address_line","postal_code"
"gleif-AR5L2ODV9HN37376R084","GLEIF","MASTERCARD INCORPORATED","2000 PURCHASE STREET, HARRISON, US-NY","10577"
"sec-0001141391","SEC","Mastercard Inc","2000 PURCHASE STREET, PURCHASE, NY","10577"
"gleif-QEKMOTMBBKA8I816DO57","GLEIF","THE HOME DEPOT, INC.","2455 Paces Ferry Road, Atlanta, US-GA","30339"
"sec-0000354950","SEC","HOME DEPOT, INC.","2455 PACES FERRY ROAD, ATLANTA, GA","30339-4024"
"gleif-J3WHBG0MTS7O8ZVMDC91","GLEIF","EXXONMOBIL HOLDINGS CORPORATION","22777 SPRINGWOODS VILLAGE, SPRING, US-TX","77389"
"sec-0002115436","SEC","ExxonMobil Holdings Corp","22777 SPRINGWOODS VILLAGE PARKWAY, SPRING, TX","77389"
"gleif-UWJKFUJFZ02DKWI3RY53","GLEIF","THE COCA-COLA COMPANY","One Coca-Cola Plaza, Atlanta, US-GA","30313"
"sec-0000021344","SEC","COCA COLA CO","ONE COCA COLA PLAZA, ATLANTA, GA","30313"
"gleif-FJSUNZKFNQ5YPJ5OT455","GLEIF","PepsiCo, Inc.","700 Anderson Hill Road, Harrison, US-NY","10577"
"sec-0000077476","SEC","PEPSICO INC","700 ANDERSON HILL RD, PURCHASE, NY","10577"
"gleif-549300WV6GIDOZJTV909","GLEIF","BROADCOM INC.","1320 Ridder Park Drive, San Jose, US-CA","95131"
"sec-0001730168","SEC","Broadcom Inc.","3421 HILLVIEW AVENUE, PALO ALTO, CA","94304"
"gleif-29DX7H14B9S6O3FD6V18","GLEIF","COSTCO WHOLESALE CORPORATION","C/O John Sullivan 999 Lake Drive, Issaquah, US-WA","98027"
"sec-0000909832","SEC","COSTCO WHOLESALE CORP /NEW","999 LAKE DRIVE, ISSAQUAH, WA","98027-"
"gleif-UE2136O97NLB5BYP9H04","GLEIF","MCDONALD'S CORPORATION","110 N. Carpenter Street, Chicago, US-IL","60607"
"sec-0000063908","SEC","MCDONALDS CORP","110 NORTH CARPENTER STREET, CHICAGO, IL","60607"
"gleif-RCGZFPDMRW58VJ54VR07","GLEIF","SALESFORCE, INC.","Salesforce Tower 415 Mission St., San Francisco, US-CA","94105"
"sec-0001108524","SEC","Salesforce, Inc.","SALESFORCE TOWER 415 MISSION STREET 3RD FL, SAN FRANCISCO, CA","94105"
"gleif-FU4LY2G4933NH2E1CP29","GLEIF","ADOBE INC.","345 Park Avenue, San Jose, US-CA","95110"
"sec-0000796343","SEC","ADOBE INC.","345 PARK AVE, SAN JOSE, CA","95110-2704"
"gleif-549300Y7VHGU0I7CE873","GLEIF","NETFLIX, INC.","100 Winchester Circle, Los Gatos, US-CA","95032"
"sec-0001065280","SEC","NETFLIX INC","121 ALBRIGHT WAY, LOS GATOS, CA","95032"
"gleif-549300GZKULIZ0WOW665","GLEIF","THE WALT DISNEY COMPANY","251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0001744489","SEC","Walt Disney Co","500 SOUTH BUENA VISTA STREET, BURBANK, CA","91521"
"gleif-549300LKFJ962MZ46593","GLEIF","CISCO SYSTEMS, INC.","251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0000858877","SEC","CISCO SYSTEMS, INC.","170 WEST TASMAN DR, SAN JOSE, CA","95134-1706"
"gleif-KNX4USFCNGPY45LOCE31","GLEIF","INTEL CORPORATION","CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000050863","SEC","INTEL CORP","2200 MISSION COLLEGE BLVD RNB-4-151, SANTA CLARA, CA","95054"
"gleif-2S72QS2UO2OESLG6Y829","GLEIF","VERIZON COMMUNICATIONS INC.","1095 Avenue of the Americas, New York, US-NY","10036"
"sec-0000732712","SEC","VERIZON COMMUNICATIONS INC","1095 AVENUE OF THE AMERICAS, NEW YORK, NY","10036"
"sec-0000732712-former1","SEC","BELL ATLANTIC CORP","1095 AVENUE OF THE AMERICAS, NEW YORK, NY","10036"
"gleif-549300Z40J86GGSTL398","GLEIF","AT&T INC.","208 South Akard Street, Dallas, US-TX","75202"
"sec-0000732717","SEC","AT&T INC.","208 S. AKARD ST, DALLAS, TX","75202"
"sec-0000732717-former1","SEC","SBC COMMUNICATIONS INC","208 S. AKARD ST, DALLAS, TX","75202"
"sec-0000732717-former2","SEC","SOUTHWESTERN BELL CORP","208 S. AKARD ST, DALLAS, TX","75202"
"gleif-787RXPR0UX0O0XUXPZ81","GLEIF","NIKE, INC.","ONE BOWERMAN DRIVE, Beaverton, US-OR","97005"
"sec-0000320187","SEC","NIKE, Inc.","ONE BOWERMAN DR, BEAVERTON, OR","97005-6453"
"gleif-1Z4GXXU7ZHVWFCD8TV52","GLEIF","ORACLE CORPORATION","2300 Oracle Way, Austin, US-TX","78741"
"sec-0001341439","SEC","ORACLE CORP","2300 ORACLE WAY, AUSTIN, TX","78741"
"gleif-765LHXWGK1KXCLTFYQ30","GLEIF","PFIZER INC.","235 EAST 42ND STREET, NEW YORK, US-NY","10017"
"sec-0000078003","SEC","PFIZER INC","66 HUDSON BOULEVARD EAST, NEW YORK, NY","10001-2192"
"gleif-4YV9Y5M8S0BRK1RP0397","GLEIF","MERCK & CO., INC.","126 East Lincoln Avenue PO Box 2000, Rahway, US-NJ","07065-1310"
"sec-0000310158","SEC","Merck & Co., Inc.","126 EAST LINCOLN AVENUE P.O. BOX 2000, RAHWAY, NJ","07065"
"gleif-FR5LCKFTG8054YNNRU85","GLEIF","ABBVIE INC.","1 North Waukegan Road, North Chicago, US-IL","60064"
"sec-0001551152","SEC","AbbVie Inc.","1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL","60064"
"gleif-9DJT3UXIJIZJI4WXO774","GLEIF","BANK OF AMERICA CORPORATION","Bank of America Corporate Center 100 North Tryon Street, Charlotte, US-NC","28202"
"sec-0000070858","SEC","BANK OF AMERICA CORP /DE/","BANK OF AMERICA CORPORATE CENTER 100 N TRYON ST, CHARLOTTE, NC","28255"
"gleif-PBLD0EJDB5FWOLXP3B76","GLEIF","WELLS FARGO & COMPANY","333 Market Street, San Francisco, US-CA","94105"
"sec-0000072971","SEC","WELLS FARGO & COMPANY/MN","333 MARKET STREET, SAN FRANCISCO, CA","94105"
"gleif-784F5XWPLTWKTBV3E584","GLEIF","THE GOLDMAN SACHS GROUP, INC.","200 WEST STREET, NEW YORK, US-NY","10282"
"sec-0000886982","SEC","GOLDMAN SACHS GROUP INC","200 WEST STREET, NEW YORK, NY","10282"
"gleif-RVHJWBXLJ1RFUBSY1F30","GLEIF","THE BOEING COMPANY","2711 Centerville Road Suite 400, Wilmington, US-DE","19808"
"sec-0000012927","SEC","BOEING CO","929 LONG BRIDGE DRIVE, ARLINGTON, VA","22202"
"gleif-DPRBOZP0K5RM2YE8UU08","GLEIF","LOCKHEED MARTIN CORPORATION","6801 ROCKLEDGE DR, BETHESDA, US-MD","20817"
"sec-0000936468","SEC","LOCKHEED MARTIN CORP","6801 ROCKLEDGE DR, BETHESDA, MD","20817"
"gleif-WRJR7GS4GTRECRRTVX92","GLEIF","CATERPILLAR INC.","5205 N O'Connor Blvd Ste 100, Irving, US-TX","75039"
"sec-0000018230","SEC","CATERPILLAR INC","5205 N. O'CONNOR BOULEVARD SUITE 100, IRVING, TX","75039"
"gleif-VGRQXHF3J8VDLUA7XE92","GLEIF","INTERNATIONAL BUSINESS MACHINES CORPORATION","ONE NORTH CASTLE DRIVE ARMONK, NORTH CASTLE, US-NY","10504"
"sec-0000051143","SEC","INTERNATIONAL BUSINESS MACHINES CORP","1 NEW ORCHARD ROAD, ARMONK, NY","10504"
"gleif-H1J8DDZKZP6H7RWC0H53","GLEIF","QUALCOMM INCORPORATED","5775 Morehouse Drive, San Diego, US-CA","92121"
"sec-0000804328","SEC","QUALCOMM INC/DE","5775 MOREHOUSE DR, SAN DIEGO, CA","92121"
"gleif-WDJNR2L6D8RWOEB8T652","GLEIF","TEXAS INSTRUMENTS INCORPORATED","12500 Texas Instruments Boulevard MS A3000, Dallas, US-TX","75243"
"sec-0000097476","SEC","TEXAS INSTRUMENTS INC","P.O. BOX 660199, DALLAS, TX","75266"
"gleif-OQSJ1DU9TAOC51A47K68","GLEIF","STARBUCKS CORPORATION","2401 UTAH AVE S MS:S-LA1 SUITE 800, SEATTLE, US-WA","98134"
"sec-0000829224","SEC","STARBUCKS CORP","P O BOX 34067, SEATTLE, WA","98124-1067"
"gleif-20S05OYHG0MQM4VUIC57","GLEIF","FORD MOTOR COMPANY","CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000037996","SEC","FORD MOTOR CO","ONE AMERICAN ROAD, DEARBORN, MI","48126"
"gleif-54930070NSV60J38I987","GLEIF","GENERAL MOTORS COMPANY","300 Renaissance Center, Detroit, US-MI","48265"
"sec-0001467858","SEC","General Motors Co","1240 WOODWARD AVENUE, DETROIT, MI","48265"
"gleif-LUZQVYP4VS22CLWDAR65","GLEIF","3M COMPANY","3M Center, St. Paul, US-MN","55144"
"sec-0000066740","SEC","3M CO","3M CENTER BLDG. 220-9E-02, ST PAUL, MN","55144-1000"
"gleif-R4PP93JZOLY261QX3811","GLEIF","AMERICAN EXPRESS COMPANY","200 Vesey Street, New York, US-NY","10285"
"sec-0000004962","SEC","AMERICAN EXPRESS CO","200 VESEY STREET 50TH FLOOR, NEW YORK, NY","10285"
"gleif-D01LMJZU09ULLNCY6Z23","GLEIF","UNITED PARCEL SERVICE, INC.","2711 Centerville Road Suite 400, Wilmington, US-DE","19808"
"sec-0001090727","SEC","UNITED PARCEL SERVICE INC","55 GLENLAKE PARKWAY NE, ATLANTA, GA","30328"
